referencia,nombre,categoria,precio,stock,costo
WH4998812,BRAZO DE COMPAS CANAL 13 IZQUIERDO >= 600 (SK 2.20-13 1),ANGULARES - BRAZO DE COMPAS,5049,6,0
WH4998811,BRAZO DE COMPAS CANAL 9 DERECHO <=600 (SK 1.20-9.RS),ANGULARES - BRAZO DE COMPAS,5049,6,0
WH4998810,BRAZO DE COMPAS CANAL 9 DERECHO >=600 (SK 2.20-9.RS),ANGULARES - BRAZO DE COMPAS,5049,6,0
WH4998816,BRAZO DE COMPAS CANAL 9 IZQUIERDO <=600 (SK 1.20-9.LS),ANGULARES - BRAZO DE COMPAS,5049,6,0
WH4998815,BRAZO DE COMPAS CANAL 9 IZQUIERDO >=600 (SK 2.20-9.RS),ANGULARES - BRAZO DE COMPAS,5049,6,0
WH4986908,FALSO COMPAS CANAL 13 DER. (DL.K.ET.20-13.RS),ANGULARES - BRAZO DE COMPAS,2742,6,0
WH4986909,FALSO COMPAS CANAL 13 IZQ. (DL.K.ET.20-13.LS),ANGULARES - BRAZO DE COMPAS,2742,6,0
WH4986906,FALSO COMPAS CANAL 9 DER. (DL.K.ET.20-9.RS),ANGULARES - BRAZO DE COMPAS,2742,6,0
WH4986907,FALSO COMPAS CANAL 9 IZQ. (DL.K.ET.20-9.LS),ANGULARES - BRAZO DE COMPAS,2742,6,0
WH4968753,FALSA MANIOBRA FSF,ANGULARES - BRAZO DE COMPAS,1465,6,0
WH1848599,LIMITADOR DE APERTURA (DB 11SL),ANGULARES - BRAZO DE COMPAS,5153,6,0
WH4998900,DUO FUNCION (DFE),ANGULARES - BRAZO DE COMPAS,2541,6,0
WH4931450,ELEMENTO TRIFUNCION TFE V1,ANGULARES - BRAZO DE COMPAS,4411,6,0
WH4990509,EMBELLECEDOR BISAGRA AL CANTO BLANCO (ESV),ANGULARES - BRAZO DE COMPAS,60,6,0
WH2814681,EMBELLECEDOR BISAGRA AL CANTO BLANCO (FK-F 20-6/20),ANGULARES - BRAZO DE COMPAS,90,6,0
WH4990531,EMBELLECEDOR BISAGRA AL CANTO MARRON (ESV),ANGULARES - BRAZO DE COMPAS,60,6,0
WH2909867,EMBELLECEDOR BISAGRA AL CANTO MARRON (FK-F 20-6/20),ANGULARES - BRAZO DE COMPAS,90,6,0
WH4990535,EMBELLECEDOR BISAGRA AL CANTO PLATA (ESV F1),ANGULARES - BRAZO DE COMPAS,754,6,0
WH2201906,EMBELLECEDOR BISAGRA AL CANTO PLATA (FK-F 20-6/20),ANGULARES - BRAZO DE COMPAS,1547,6,0
WH4993659,EMBELLECEDOR COMPAS BLANCO (K.SK.WS),ANGULARES - BRAZO DE COMPAS,60,6,0
WH4927421,EMBELLECEDOR COMPAS MARRON (K.SK),ANGULARES - BRAZO DE COMPAS,120,6,0
WH4928484,EMBELLECEDOR COMPAS PLATA (K.SK.F1),ANGULARES - BRAZO DE COMPAS,904,6,0
WH4993672,EMBELLECEDOR SOPORTE COMPAS BLANCO (K.SL.KS.WS),ANGULARES - BRAZO DE COMPAS,60,6,0
WH4927420,EMBELLECEDOR SOPORTE COMPAS MARRON (K.SL.KS),ANGULARES - BRAZO DE COMPAS,120,6,0
WH4928483,EMBELLECEDOR SOPORTE COMPAS PLATA (K.SL.KS.F1),ANGULARES - BRAZO DE COMPAS,633,6,0
0390504BL,MANILLA JUMBO BLANCA 40MM,MANILLAS,19297,6,0
0390504IN,MANILLA JUMBO COLOR INOX 40MM,MANILLAS,22723,6,0
0390504MR,MANILLA JUMBO MARRON 40MM,MANILLAS,19297,6,0
0390504NG,MANILLA JUMBO NEGRA 40MM,MANILLAS,20505,6,0
WH5032432,MAN-MAN NEPTUNO PZ70 BLANCA,MANILLAS,19677,6,0
010GUARNIC,MAN-MAN NEPTUNO PZ70 MARRON,MANILLAS,16112,6,0
010GUARNICN,MAN-MAN NEPTUNO PZ70 NEGRA,MANILLAS,16112,6,0
010GUARINX,MAN-MAN NEPTUNO PZ70 INOX,MANILLAS,16112,6,0
03960429MR,MANILLA NEPTUNO MARRON 29 MM,MANILLAS,2102,6,0
03960533MR,MANILLA NEPTUNO MARRON 33 MM,MANILLAS,2102,6,0
03960629BL,MANILLA NEPTUNO BLANCA 29 MM,MANILLAS,2102,6,0
WH5032425,MANILLA NEPTUNO BLANCA 33 MM,MANILLAS,2102,6,0
03960829NG,MANILLA NEPTUNO NEGRA 29 MM,MANILLAS,2239,6,0
03960933NG,MANILLA NEPTUNO NEGRA 33 MM,MANILLAS,2239,6,0
03900533RI,MANILLA NEPTUNO COLOR INOX 29 MM,MANILLAS,2886,6,0
03961033IN,MANILLA NEPTUNO COLOR INOX 33 MM,MANILLAS,2487,6,0
03992133NG,MANILLA NEPTUNO C/LLAVE NEGRA 33 MM,MANILLAS,14702,6,0
MD1423545MR,MANILLA NEPTUNO C/LLAVE MARRON 33MM,MANILLAS,10509,6,0
WH5032425,MANILLA C/LLAVE NEPTUNO BLANCA 33 MM,MANILLAS,15437,6,0
WH5032420,MANILLA NEPTUNO ACODADA IZQ MARRON,MANILLAS,4702,6,0
WH5032421,MANILLA NEPTUNO ACODADA DER MARRON,MANILLAS,4702,6,0
WH5032422,MANILLA NEPTUNO ACODADA IZQ BLANCA,MANILLAS,4702,6,0
WH5032423,MANILLA NEPTUNO ACODADA DER BLANCA,MANILLAS,4702,6,0
WH5032439,CUADRADILLO 7 X 7 X 90 MM,MANILLAS,452,6,0
WH2328229,SEGURO CON LLAVE BLANCO (FSV WS),MANILLAS,9706,6,0
WH2328237,SEGURO CON LLAVE MARRON (FSV BR),MANILLAS,9706,6,0
WH2102246,LLAVE (FSV SL),MANILLAS,2923,6,0
WH4965127,PALANCA DE REBAJO (GASM.GZ 1050-1),PALANCAS - PLETINAS,7867,6,0
WH4965128,PALANCA DE REBAJO (GASM.GZ 1400-1),PALANCAS - PLETINAS,8800,6,0
WH4965130,PALANCA DE REBAJO (GASM.GZ 1800-2),PALANCAS - PLETINAS,12929,6,0
WH4965131,PALANCA DE REBAJO (GASM.GZ 2300-3),PALANCAS - PLETINAS,18384,6,0
WH4974967,PALANCA DE REBAJO C.FIJA (GASK.GZ 710.E3),PALANCAS - PLETINAS,6209,6,0
WH4974991,PALANCA DE REBAJO C.FIJA (GASM.GZ 800.E3),PALANCAS - PLETINAS,6812,6,0
WH1895766,PASADOR (K011.SL),PALANCAS - PLETINAS,3797,6,0
WH1794068,PASADOR (KUR 11.SL),PALANCAS - PLETINAS,4099,6,0
WH4935006,PASADOR PUERTA CALLE (GAZ 16X157),PALANCAS - PLETINAS,24107,6,0
WH2813654,PLACA R SL,PALANCAS - PLETINAS,180,6,0
WH2847141,PLETINA DE COMPAS (OS1.600),PALANCAS - PLETINAS,2466,6,0
WH2848275,PLETINA DE COMPAS (OS2.1025-1),PALANCAS - PLETINAS,3772,6,0
WH2848291,PLETINA DE COMPAS (OS2.1250-1),PALANCAS - PLETINAS,4365,6,0
WH2848304,PLETINA DE COMPAS (OS2.1475-1),PALANCAS - PLETINAS,5179,6,0
WH4928979,PLETINA DE COMPAS (OS2.800),PALANCAS - PLETINAS,3206,6,0
WH4998879,PROLONGADOR 500-1 (M.500-1),PALANCAS - PLETINAS,2050,6,0
WH4940652,PROLONGADOR 750-1 (M.750-1),PALANCAS - PLETINAS,2833,6,0
WH4982891,PROLONGADOR DE UNION (KE SL),PALANCAS - PLETINAS,1718,6,0
WH4929185,PROLONGADOR SIN BULON VARIABLE 250 (MK.250-0),PALANCAS - PLETINAS,2080,6,0
WH2824986,PROLONGADOR VARIABLE 500-1 (MK.500-1),PALANCAS - PLETINAS,2682,6,0
WH4940653,PROLONGADOR VARIABLE 750-1 (MK.750-1),PALANCAS - PLETINAS,3587,6,0
WH4933545,RESBALON APOYO HOJA PASIVA DER. (RT.DFE-TFE.S.RS),RESBALON DE APOYO,242,6,0
